Object ID,Compound,Pathways of compound,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity
C5,Und-PP-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala-D-Ala,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing),Peptidoglycan Biosynthesis // Superpathways,Cell Wall Biosynthesis // Pathways,Cell Structure Biosynthesis // All Pathways and Reactions,Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
CPD0-1456,UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanine,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing) // peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing),UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis // Peptidoglycan Biosynthesis // Superpathways,Cell Wall Biosynthesis // Pathways,Cell Structure Biosynthesis // All Pathways and Reactions,Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
UDP-AA-GLUTAMATE,UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-D-glutamate,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing) // peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing),UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis // Peptidoglycan Biosynthesis // Superpathways,Cell Wall Biosynthesis // Pathways,Cell Structure Biosynthesis // All Pathways and Reactions,Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
UDP-N-ACETYLMURAMATE,UDP-<i>N</i>-acetyl-&alpha;-D-muramate,peptidoglycan recycling I // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing) // peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing),Anhydromuropeptide Recycling // UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis // Peptidoglycan Biosynthesis // Superpathways,Degradation/Utilization/Assimilation - Other // Cell Wall Biosynthesis // Pathways,Degradation/Utilization/Assimilation // Cell Structure Biosynthesis // All Pathways and Reactions,Pathways // Biosynthesis // FRAMES,All Pathways and Reactions // Pathways // THINGS,FRAMES // All Pathways and Reactions // 
UNDECAPRENYL-P,all-<i>trans</i>-undecaprenyl phosphate,,,,,,,
C1,UDP-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala-D-Ala,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing) // peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing),UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis // Peptidoglycan Biosynthesis // Superpathways,Cell Wall Biosynthesis // Pathways,Cell Structure Biosynthesis // All Pathways and Reactions,Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
UMP,UMP,"UMP biosynthesis I // lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis // enterobacterial common antigen biosynthesis // superpathway of enterobacterial common antigen biosynthesis // peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // pyrimidine ribonucleosides salvage I // colanic acid (<i>Escherichia coli</i> K12) biosynthesis // UTP and CTP <i>de novo</i> biosynthesis // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine nucleobases salvage I // superpathway of pyrimidine ribonucleosides salvage // pyrimidine nucleobases salvage II // superpathway of pyrimidine nucleobases salvage // salvage pathways of pyrimidine ribonucleotides",UMP Biosynthesis // Lipid IV<sub>A</sub> Biosynthesis // Fatty Acid and Lipid Biosynthesis // Superpathways // Lipopolysaccharide Biosynthesis // Polysaccharide Biosynthesis // Peptidoglycan Biosynthesis // Pyrimidine Nucleotide Salvage // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis,Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // Biosynthesis // Pathways // Cell Structure Biosynthesis // Glycan Pathways // Carbohydrate Biosynthesis // Cell Wall Biosynthesis // Pyrimidine Nucleotide Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // 2'-Deoxyribonucleotide Biosynthesis,Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Pathways // All Pathways and Reactions // Nucleoside and Nucleotide Biosynthesis // Pyrimidine Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis // Pathways // Biosynthesis // All Pathways and Reactions // FRAMES // Nucleoside and Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions // Pathways // FRAMES // THINGS // Biosynthesis,Biosynthesis // FRAMES // All Pathways and Reactions // THINGS //  // Pathways
UROPORPHYRINOGEN-III,uroporphyrinogen-III,tetrapyrrole biosynthesis I (from glutamate) // siroheme biosynthesis // heme <i>b</i> biosynthesis V (aerobic) // heme <i>b</i> biosynthesis II (oxygen-independent) // superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III,Tetrapyrrole Biosynthesis // Porphyrin Compound Biosynthesis // Heme <i>b</i> Biosynthesis // Superpathways,Biosynthesis // Tetrapyrrole Biosynthesis // Heme Biosynthesis // Pathways,Pathways // Biosynthesis // Enzyme Cofactor Biosynthesis // Porphyrin Compound Biosynthesis // All Pathways and Reactions,"All Pathways and Reactions // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Tetrapyrrole Biosynthesis // FRAMES",FRAMES // All Pathways and Reactions // Biosynthesis // THINGS,THINGS // FRAMES // Pathways // 
URACIL,uracil,pyrimidine ribonucleosides degradation // pyrimidine nucleobases salvage I // superpathway of pyrimidine nucleobases salvage // pyrimidine deoxyribonucleosides degradation // superpathway of pyrimidine deoxyribonucleosides degradation // salvage pathways of pyrimidine deoxyribonucleotides // pyrimidine ribonucleosides salvage II // superpathway of pyrimidine ribonucleosides salvage // pyrimidine nucleobases salvage II // pyrimidine ribonucleosides salvage III // salvage pathways of pyrimidine ribonucleotides // uracil degradation III // pseudouridine degradation,Pyrimidine Ribonucleoside Degradation // Pyrimidine Nucleotide Salvage // Superpathways // Pyrimidine Deoxyribonucleoside Degradation // Pyrimidine Nucleotide Degradation // Uracil Degradation // Purine Nucleotide Degradation,Pyrimidine Nucleotide Degradation // Pyrimidine Nucleotide Biosynthesis // Pathways // Nucleoside and Nucleotide Degradation // Pyrimidine Nucleobase Degradation,Nucleoside and Nucleotide Degradation // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions // Degradation/Utilization/Assimilation // Pyrimidine Nucleotide Degradation,Degradation/Utilization/Assimilation // Biosynthesis // FRAMES // Pathways // Nucleoside and Nucleotide Degradation,Pathways // THINGS // All Pathways and Reactions // Degradation/Utilization/Assimilation,All Pathways and Reactions //  // FRAMES // Pathways
URIDINE,uridine,pyrimidine ribonucleosides salvage I // pyrimidine ribonucleosides salvage II // superpathway of pyrimidine ribonucleosides salvage // salvage pathways of pyrimidine ribonucleotides // pyrimidine ribonucleosides degradation,Pyrimidine Nucleotide Salvage // Pyrimidine Ribonucleoside Degradation // Superpathways,Pyrimidine Nucleotide Biosynthesis // Pyrimidine Nucleotide Degradation // Pathways,Nucleoside and Nucleotide Biosynthesis // Nucleoside and Nucleotide Degradation // All Pathways and Reactions,Biosynthesis // Degradation/Utilization/Assimilation // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
UTP,UTP,"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // UTP and CTP <i>de novo</i> biosynthesis // superpathway of pyrimidine nucleobases salvage // superpathway of pyrimidine ribonucleosides salvage // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // peptidoglycan recycling I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // <i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>) // UDP-&alpha;-D-glucose biosynthesis // colanic acid building blocks biosynthesis // galactose degradation I (Leloir pathway)",Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Superpathways // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide Salvage // Anhydromuropeptide Recycling // UDP-<i>N</i>-acetyl-D-glucosamine Biosynthesis // Metabolic Clusters // Sugar Nucleotide Biosynthesis // UDP-sugar Biosynthesis // Carbohydrate Biosynthesis // Galactose Degradation,2'-Deoxyribonucleotide Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pathways // Pyrimidine Nucleotide Biosynthesis // Degradation/Utilization/Assimilation - Other // UDP-sugar Biosynthesis // Sugar Biosynthesis // Sugar Nucleotide Biosynthesis // Biosynthesis // Sugar Degradation,Nucleoside and Nucleotide Biosynthesis // Pyrimidine Nucleotide Biosynthesis // All Pathways and Reactions // Degradation/Utilization/Assimilation // Sugar Nucleotide Biosynthesis // Carbohydrate Biosynthesis // Sugar Biosynthesis // Pathways // Carbohydrate Degradation,Biosynthesis // Nucleoside and Nucleotide Biosynthesis // FRAMES // Pathways // Sugar Biosynthesis // Carbohydrate Biosynthesis // All Pathways and Reactions // Degradation/Utilization/Assimilation,Pathways // Biosynthesis // THINGS // All Pathways and Reactions // Carbohydrate Biosynthesis // FRAMES,All Pathways and Reactions // Pathways //  // FRAMES // Biosynthesis // THINGS
XANTHOSINE-5-PHOSPHATE,XMP,"xanthine and xanthosine salvage // guanosine ribonucleotides <i>de novo</i> biosynthesis // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Purine Nucleotide Salvage // Purine Riboucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Nucleotide Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Pathways,Nucleoside and Nucleotide Biosynthesis // Purine Nucleotide Biosynthesis // All Pathways and Reactions,Biosynthesis // Nucleoside and Nucleotide Biosynthesis // FRAMES,Pathways // Biosynthesis // THINGS,All Pathways and Reactions // Pathways // 
KDO2-LIPID-IVA,&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB> (E. coli),Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>) // (Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>) // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis,Kdo Transfer to Lipid IV<SUB>A</SUB> // Kdo-lipid A biosynthesis // Fatty Acid and Lipid Biosynthesis // Superpathways // Lipopolysaccharide Biosynthesis,Lipopolysaccharide Biosynthesis // Fatty Acid and Lipid Biosynthesis // Biosynthesis // Pathways // Cell Structure Biosynthesis // Glycan Pathways,Cell Structure Biosynthesis // Glycan Pathways // Biosynthesis // Pathways // All Pathways and Reactions,Biosynthesis // Pathways // All Pathways and Reactions // FRAMES,Pathways // All Pathways and Reactions // FRAMES // THINGS,All Pathways and Reactions // FRAMES // THINGS // 
CA+2,Ca<SUP>2+</SUP>,,,,,,,
CL-,chloride,,,,,,,
FE+3,Fe<SUP>3+</SUP>,,,,,,,
